,보증금(만원),층,건축년도,home_cnt,home_size,room_cnt,bath_cnt,edu,bus,sub_dist,1호선,2호선,3호선,4호선,5호선,6호선,7호선,8호선,9호선,살인 검거율,강도 검거율,"강간,추행 검거율",절도 검거율,폭력 검거율,인구 십만명당 살인발생,인구 십만명당 강도발생,"인구 십만명당 강간,추행발생",인구 십만명당 절도발생,인구 십만명당 폭력발생,park,han_park,center_weight,rate,"('강남구',)","('강북구',)","('강서구',)","('관악구',)","('광진구',)","('구로구',)","('금천구',)","('노원구',)","('도봉구',)","('동대문구',)","('동작구',)","('마포구',)","('서대문구',)","('서초구',)","('성북구',)","('송파구',)","('양천구',)","('영등포구',)","('용산구',)","('은평구',)","('종로구',)","('중구',)","('중랑구',)"
1호선,-0.023702718132021884,0.025181615403589878,0.08203988094519442,-0.02646517112196522,0.007458989764918764,0.010719100338210285,0.03714137094187297,-0.15969165233718943,-0.03806947427857559,0.010933235571863792,1.0,0.12595329171134168,-0.06002338329561599,-0.034504254841828015,0.06155675275774437,0.04466023568156223,-0.048474821148792244,-0.03846044098697706,-0.03680829834893383,-0.11098270418754586,0.03706894792676362,0.09215864843096046,0.163161902705652,0.35573944607573316,0.12551878467851224,0.12113506518323676,-0.009180360072748348,0.11201383744957583,0.12655870102879832,0.07908777814211809,-0.013865250709180842,-0.024186735847086048,-0.005204910078802866,-0.04836050000876756,-0.01824396986571265,-0.04340162528045206,-0.025415939096196306,-0.023715497190923862,-0.03129924569496632,-0.016496514392805434,-0.04990020978160271,-0.009146938360142486,0.5816132211226072,-0.02844211131975974,-0.03208902274924857,-0.0220826345569621,-0.036808387607012,-0.03245439325974328,-0.05258508658338997,-0.04292700978840227,-0.023402338357504104,0.0016624279661374604,0.020352470593325872,0.08181687096993351,0.09542739830035661,-0.024377352215740347
2호선,0.1029639359485782,0.07581192645096488,0.07521372425631627,0.07462056080966174,0.04521663379705051,0.042597542601771975,0.04822557702571097,-0.10099154178646066,-0.00941801749256581,0.12014566490887006,0.12595329171134168,1.0,-0.13138201225581167,-0.24216882499044837,0.01064381048399444,-0.15999893055131068,-0.09219297158187086,0.02115577859818976,0.11190079897101113,0.11796860185174994,0.12108143485404006,-0.05821453136228945,-0.09878208069997682,-0.10228959338376245,0.06654850470018027,0.023875840850614415,0.00467071111040787,0.10166734899574917,0.01860579568449549,-0.04114445515304895,-0.055089042589382804,0.14802849131340462,-0.1446858377240355,-0.10007471140995576,-0.07466621023680765,-0.12064452643613106,0.2685087328527697,0.13981154449053557,0.18178879007660695,0.13761440288395807,-0.22007118045247073,-0.10340047408388583,0.08826226223608186,-0.04023589350632559,-0.015133556867310204,0.020040168783942724,0.05910177523962966,-0.1310963562874245,0.06204005872547392,0.2506722457272788,0.0020562176774885327,-0.10505966261352637,-0.08785631936401232,-0.03630662905664338,0.04600911923747607,-0.09840162352283874
3호선,0.2728115192940645,-0.03358820938465333,-0.05014833597597795,-0.07762169728866529,0.12036810323384182,0.10586930893857362,0.04464794679440882,0.18745211007147805,-0.09517761288160297,-0.07265353280144647,-0.06002338329561599,-0.13138201225581167,1.0,-0.18276778586662482,-0.13874900090222547,-0.08391748005155543,-0.16059884044331582,0.04050291670553712,-0.06794420725746418,-0.10801602013125532,-0.34247950804877564,0.02081208273381287,-0.006000265699380637,0.05151384100259914,0.035500802219565065,0.41485185714156186,0.45549628481040433,0.33651081651924014,0.2588673162487337,-0.047245833638447,-0.004228814319841486,0.20424861792876792,0.2640967814747169,0.501306030567023,-0.05712456841622725,-0.13589690900377002,-0.08406631071746155,-0.07732213631955312,-0.09921705027124038,-0.055844747679333215,-0.16882963514397095,-0.09037431515616476,-0.08976539378391207,-0.08763412443261841,-0.09867096696524638,0.17213342641924734,0.37052096423386016,-0.09047046851011861,0.00742046701002572,-0.1353199062069949,-0.07021023327922957,-0.028456643728511748,0.12422543773901615,0.039711033519472465,0.08841165326952402,-0.04961142107276919
4호선,-0.10133594516558614,-0.0016202311560009298,-0.03496630925851386,-0.011572963398954625,-0.033335445990897744,-0.05120893744471861,-0.016855893272164055,-0.03837934979255894,0.07423997704562661,0.02809036378561159,-0.034504254841828015,-0.24216882499044837,-0.18276778586662482,1.0,-0.2573566561438959,-0.09718779177191342,0.060664445979736366,-0.11387705953875896,-0.1089852501696863,-0.14326972334881682,-0.08652807212843272,0.017403783445959928,0.06379392407039389,0.10253909575687066,-0.18844749262830954,-0.11524904065340329,-0.11642173644451527,-0.21924583569383652,-0.1145570687031133,0.02190004794582089,0.03608347837680557,-0.104803052841983,0.07649282016766891,-0.1316107731418233,0.2436507217402678,-0.12163886168093688,-0.0693308869003946,-0.07027088624334744,-0.08961816586469773,-0.039448922460472734,0.21979641977356787,0.32170270950524393,-0.07719190953277358,0.09093313598000943,-0.09704481580461771,-0.06903920336602651,0.015826699887290102,0.32512686729541146,-0.15563222128772208,-0.12480376830495847,-0.06357456990280104,0.2115111239723817,-0.05842317439705157,0.005501829232247101,-0.045698595576371785,-0.07126164351008224
5호선,-0.014754704375002143,-0.052741413054299746,-0.01056057954580937,-0.08579306125999782,0.020677682442917195,0.031569227180012815,0.009390872084288883,0.1357287675638822,-0.013368051476497533,0.08179168403030036,0.06155675275774437,0.01064381048399444,-0.13874900090222547,-0.2573566561438959,1.0,-0.043200907202864354,-0.32861469026908297,-0.02213238820976599,-0.026428407671594743,0.26463493925488973,0.2691040600298008,0.018470254962931906,0.12296123579105894,-0.010953055455382098,0.028004469521520893,-0.15136299824336458,-0.15051122966262864,-0.028408671087799285,-0.0770845279789519,0.1230174984630742,-0.007766354893603317,-0.05244390784419108,-0.11277452798777858,-0.17670076301645404,-0.05110342674832679,0.4631862691014053,-0.09592653261259955,0.048193501566597546,-0.1244568410625,-0.06775831019159011,-0.20778483905524633,-0.09738047994194422,0.09908457017268019,-0.07141453882867038,0.09061272225108699,-0.01739509867068145,-0.14696542587460715,-0.11044469801011723,0.11229890841934029,0.3001350737851182,0.06427879441095061,-0.024939239283219387,-0.08477814409337157,-0.018858926817501002,0.050943178663873295,-0.09530121112030907
6호선,-0.06791789676371471,0.016982726638567192,0.13229965196170293,-0.054028145593369825,-0.015268949102473315,0.006189859305890768,0.04189033443116293,-0.34644333525759546,0.05102914465984571,0.004176691000640173,0.04466023568156223,-0.15999893055131068,-0.08391748005155543,-0.09718779177191342,-0.043200907202864354,1.0,-0.13891918693557873,-0.112053307685849,-0.10723984110536361,-0.11718789200841641,-0.08839835525884826,0.1011470133294861,0.014937537229646476,0.09377347210137146,0.06327401528121847,0.04120009795871248,0.16677872366765797,0.18740289406339564,0.24468817434872386,0.020886973268793307,-0.01184879146382817,0.04466607032402918,-0.1893339462069802,-0.14055624556229382,-0.014091092497095356,-0.04526915451373853,-0.0769225328193332,-0.07132534166978889,-0.08944322075523269,-0.049368827039967395,-0.005031776709250447,-0.08121266164349907,-0.01274587640041543,-0.057154743632669036,0.42374853158046366,0.04195010638154617,-0.09745756645697198,0.06944264171971115,-0.15313797307630844,-0.12212265969272214,-0.039541951079287506,0.1969302001205725,0.2725865046782343,0.08305395383834058,0.19481964586928344,0.18080612226027576
7호선,-0.15705766969825433,-0.012736642019306993,-0.1047724725172383,-0.05063017660225244,-0.09815908834002235,-0.11348702425358681,-0.12007832085103011,-0.05347903763081337,0.10117241672125064,0.008846276496369682,-0.048474821148792244,-0.09219297158187086,-0.16059884044331582,0.060664445979736366,-0.32861469026908297,-0.13891918693557873,1.0,-0.16292163378207877,-0.0996629917858951,-0.21251064050490334,-0.09041448683771738,-0.11760455430537216,-0.13862409671270107,-0.15389664871883044,0.012782545274537755,-0.0712466040637565,-0.0727461241367318,-0.10680630430264934,-0.07464179762354656,-0.0592243962736118,0.010251666208120222,-0.12201702683078759,0.0054715321369466375,-0.10416719222319455,-0.048065620172612025,-0.1779719838462515,0.04384311830368771,0.04637612141254535,0.17951686061724553,0.10583658003141898,0.4335728173575,0.020430792715888133,0.042997146143911216,0.25708105052272473,-0.13937161133910342,-0.09087497432789708,0.08439430984293751,-0.11758003817683745,-0.21997601451349783,-0.15777062285272167,0.05659504233196991,-0.10660207669528152,-0.09819407045892677,-0.03515323044311774,-0.04846630428780588,0.09388746132053176
8호선,0.10873588135016696,0.06198593124001031,0.08497695172838252,0.24759717241624843,0.03796665204817461,0.060881182164000625,0.08754887856251983,0.21398038015379822,-0.07655508980600297,-0.05374503128605913,-0.03846044098697706,0.02115577859818976,0.04050291670553712,-0.11387705953875896,-0.02213238820976599,-0.112053307685849,-0.16292163378207877,1.0,0.3697485911906459,0.13973770046605735,0.0940098967387941,-0.00688586876858301,-0.25334150577411435,0.08020210197566857,-0.12110750738600629,-0.06708753830050412,-0.14929649754538601,-0.06344421601488882,-0.14105237381606586,-0.06138034434078403,-0.02326273109728975,0.1924180576630647,0.008758165444654778,-0.04183251108010075,-0.030609224025937607,-0.07281803692275887,-0.045045496344691766,-0.04143174571621361,-0.053163761287743694,-0.029923453949514348,-0.09046447557705786,-0.04858386357908014,-0.048787471349595886,-0.047548423390138025,-0.055200472840466405,-0.04545320889536119,-0.06353384247888963,-0.026440830058488105,0.6756739791675952,-0.07267957429111949,-0.04296670708684198,-0.04242234515877443,-0.042172147176849285,-0.019559008363584724,-0.02760327515460025,-0.04089964194323397
9호선,0.21873429779714595,0.09643489053388926,0.0808019731974876,0.4328286811677587,0.08551251468089709,0.07256566896397894,0.08871991357358046,0.19953918005249097,-0.13765171431302234,-0.11908093484676555,-0.03680829834893383,0.11190079897101113,-0.06794420725746418,-0.1089852501696863,-0.026428407671594743,-0.10723984110536361,-0.0996629917858951,0.3697485911906459,1.0,0.08899905290692192,0.07391625758604801,-0.00528858974570989,-0.20413150171802222,0.07603898233056783,-0.0901003790258619,0.01377849797221416,-0.06744438408780547,-0.008073119922260449,-0.07335989644081618,-0.04083707250935278,-0.022263435485048017,0.22503778019373802,0.03358124053523919,0.06969845876869926,-0.029294345599353417,-0.06968999729212795,-0.043110479916042936,-0.03965196493602087,-0.0508800090850045,-0.02863803410307336,-0.08657839903987825,-0.04649684974148366,-0.046691711146371495,-0.04477618610026333,-0.052829229753296354,-0.04306683827438508,-0.05877702161755733,-0.026908753676134857,0.534075903835292,-0.06955748259067017,-0.041120989071842966,-0.040639074382063926,-0.040360561019731477,-0.018391241608573212,-0.015678088765583496,-0.029237291250113262
살인 검거율,-0.07459911935757306,-0.06168163164634285,-0.08789486161625402,0.10267292970360634,-0.06687627264856928,-0.07482437620900712,-0.08155452579181574,0.517567393525111,-0.03602820588848847,0.13609183069205694,-0.11098270418754586,0.11796860185174994,-0.10801602013125532,-0.14326972334881682,0.26463493925488973,-0.11718789200841641,-0.21251064050490334,0.13973770046605735,0.08899905290692192,1.0,0.4191637295209967,0.3131407091041717,0.06839601614942624,-0.10735859467867383,-0.2540856644389914,-0.4659228312015383,-0.5010053072260137,-0.4251396459852512,-0.44423414421913626,0.020088556166907034,-0.06662133705679735,-0.06513322239893042,-0.1363684907640571,-0.18676325703049046,-0.07045632763657798,0.18164915111946517,-0.10368574669925469,-0.09536761364035269,-0.013089785946473403,0.13615610777139886,0.03971195116455145,0.12119548878536936,-0.14572794495207375,-0.4730213368208805,0.02423181550239527,-0.042335621266100805,0.027919943536836946,-0.12533551532837253,0.22008476128936905,0.5797010376746877,-0.2461035948185954,-0.214664169486851,0.1052010608812645,0.15600500628750597,-0.36615513163721947,-0.010070159547656797
강도 검거율,-0.14191133045305487,-0.030044218287940915,-0.15995446350532358,0.14311181221984315,-0.08437003480239579,-0.09555175867732146,-0.128283132469527,0.20873684410584625,-0.005782160085231775,-0.03139212118731689,0.03706894792676362,0.12108143485404006,-0.34247950804877564,-0.08652807212843272,0.2691040600298008,-0.08839835525884826,-0.09041448683771738,0.0940098967387941,0.07391625758604801,0.4191637295209967,1.0,0.3265002116887657,-0.17550321208749234,-0.1355400165231435,-0.24015906816728141,-0.20051212944439956,-0.43075632387446927,-0.1515217173993103,-0.15998280538455,0.07657975733947761,-0.07202518203467294,-0.15311132647697548,-0.2470881521403735,-0.008831511456277776,-0.13839495781075298,-0.007925930269887489,0.08683392770220301,0.023616129306124844,-0.041876681603615885,-0.1251376361551658,0.14368206852583765,-0.021778638228430326,0.060928104511047715,-0.021551176254013163,-0.024744658811969415,-0.12837039848059117,-0.6113876151174299,-0.04289068958004288,0.14012643361518518,0.6334867369991631,-0.20885134069294106,0.024265111858193283,-0.27656020578758733,0.22358968949380106,-0.05921966029553179,0.06495969958243812
"강간,추행 검거율",-0.04727654538334148,-0.0283244972747293,-0.019932144474212748,-0.013340350195529259,-0.016486298754951785,-0.029230202550797148,-0.025492934593266414,0.0012041277476288522,0.0014667205267578152,-0.03253686246277398,0.09215864843096046,-0.05821453136228945,0.02081208273381287,0.017403783445959928,0.018470254962931906,0.1011470133294861,-0.11760455430537216,-0.00688586876858301,-0.00528858974570989,0.3131407091041717,0.3265002116887657,1.0,0.24844632686490745,0.3182252409426543,0.2941109625769222,0.23478629759562988,0.08895792433786173,0.21077434192802405,0.28502041575562487,0.10938318282666404,-0.018770448849765375,0.04274360490120616,-0.13645087218571317,0.0107490586121884,-0.021388754672322877,0.0009997401992698394,-0.004730691597124773,0.0005688285961651901,-0.11290725106795249,0.007517623941111488,0.0012420133343671832,0.1102839902374807,0.012256802415353036,-0.19915696876780162,0.007312897271433952,0.027611791126293445,-0.12752306714411607,-0.031582641374823264,-0.009265499284856673,0.03552051917969103,-0.08614884139147871,0.015750081441936147,0.025618620719935443,0.9548671256023306,-0.06517858130182935,0.0005615231873061323
절도 검거율,-0.16195885720907524,-0.03545760326605078,0.17538846826080454,-0.21751944865032033,-0.036022146936122844,0.027225929083988232,0.07431305794809295,-0.19121264098470292,0.016790119647647435,0.2787928854422947,0.163161902705652,-0.09878208069997682,-0.006000265699380637,0.06379392407039389,0.12296123579105894,0.014937537229646476,-0.13862409671270107,-0.25334150577411435,-0.20413150171802222,0.06839601614942624,-0.17550321208749234,0.24844632686490745,1.0,0.512297952626235,0.26606128022635056,0.029819992613089295,-0.12424376907404681,-0.12058690101741434,0.02003695983176966,0.13288287273111898,-0.032376228997258436,-0.12461342670775823,0.07674557544258365,-0.004561169951228514,0.15019052541842456,0.5638055983589798,-0.002532234229251464,0.027045565272140505,-0.002988602790781815,0.16804105186647533,-0.32577705870327794,0.16949598302762184,0.23938587759112218,-0.13904529096400095,-0.31619532532398187,0.09412232292077254,-0.04866857583789651,0.22857031852989546,-0.3802663188720548,-0.1586727432027973,-0.15472999061377263,-0.06275685534164531,0.23682600220622751,0.19304019729104507,-0.060262975297822076,0.17168520502827422
