,latitude,longitude
254,37.7000155,127.0533573
255,37.3044514,126.9559465
256,37.6432952,126.8338866
257,37.3716432,126.9433906
258,37.4886162,126.7835575
259,37.6057787,126.9676276
260,37.6267236,127.0755405
261,37.5650503,126.8274942
262,37.5121801,126.934473
263,37.577415,127.0155607
264,37.5063016,126.9680257
265,37.5166564,127.0402617
266,37.5296117,126.9911055
267,37.5387469,127.075068
268,37.5300877,127.1430346
269,37.5876532,126.9967048
270,37.5702993,126.9619407
271,37.5405966,126.9869183
272,37.57556,126.9653175
273,37.6017123,126.828894
274,37.6626723,127.0404969
275,37.580568,127.0386578
276,37.4862118,126.9894179
277,37.548952,126.93986
278,37.5164268,126.8407068
279,37.6182695,127.0512643
280,37.6874173,126.7626644
281,37.5701386,126.9855426
282,37.5095496,127.1179481
283,37.5183572,126.9053991
284,37.5161753,127.1096189
285,37.5560597,126.9210453
286,37.561162,126.859807
287,37.5957165,126.8922457
288,37.585207,126.9478427
289,37.5264613,127.0450857
290,37.6120835,127.0083291
291,37.6763583,126.747512
292,37.4813616,126.9112396
293,37.5084268,126.8412612
294,37.5312239,127.0067957
295,37.5749489,126.9215738
296,37.4906573,126.8688129
297,37.6265794,127.0727862
298,37.4710002,126.9372438
299,37.5695135,127.0138508
300,37.5784613,126.8939275
301,37.6987814,126.765953
302,37.5791596,126.9964163
303,37.5115728,126.9612375
304,37.4832218,127.0120799
305,37.6624998,127.0128184
306,37.6825852,126.7499052
307,37.5587713,126.9737375
308,37.5953234,127.0823952
309,37.4886789,127.0997013
310,37.666592,127.0695323
311,37.6163049,126.9783685
312,37.5152344,127.0519071
313,37.4861568,126.972484
314,37.560614,126.9511979
315,37.6861511,126.765139
316,37.5479822,126.8352516
317,37.6559658,126.83108
318,37.4653404,127.0341239
319,37.8150365,126.8490828
320,37.6498364,127.1412991
321,37.5739496,126.9768672
322,37.3961061,126.950744
323,37.5072427,126.9587686
324,37.4778209,126.8637175
325,37.4842376,126.8212864
326,37.4909452,126.8558209
327,37.6819231,127.1355111
328,37.5635324,127.0575178
329,37.612673,127.1018665
330,37.7142062,126.7883863
331,37.44207,126.845105
332,37.607021,126.8950555
333,37.4592497,126.8857076
334,37.527886,126.8740995
335,37.6518335,127.0609915
336,37.6803959,127.0470845
337,37.5102387,126.9219968
338,37.6628289,127.0119655
339,37.6350509,127.0338943
340,37.5447702,127.0546617
341,37.5387776,126.8516393
342,37.4951118,126.8586855
343,37.5891308,126.8765699
344,37.5652394,126.9669874
345,37.6074171,127.0403853
346,37.5616905,126.9933889
347,37.6484255,126.8614794
348,37.6381084,127.077527
349,37.5753792,126.9181473
350,37.5209306,126.97837
351,37.5311849,126.8943181
352,37.5399994,126.9690615
353,37.556174,126.8698493
354,37.5384869,126.9672402
355,37.545612,127.143063
356,37.6461539,127.0372571
