,apt,road,new_apt,new_road,latitude,longitude,company,home_cnt,home_size,room_cnt,bath_cnt
274,드레곤힐,마조로18길 25,드레곤힐(도시형),천호대로 298,37.565928,127.053472,한양개발(주),91,26.97,1,1
275,왕십리모노퍼스주상복합,천호대로 298,None,None,0,0,None,0,0,0,0
276,서울숲행당푸르지오(110동),청계천로 474,None,None,0,0,None,0,0,0,0
277,로즈힐,고산자로 175,로즈힐,석산로197번길 14,37.461509,126.714293,호인에프건설주식회사,45,59.73,3,2
278,로즈힐,고산자로 175,로즈힐,석산로197번길 14,37.461509,126.714293,호인에프건설주식회사,45,59.8,3,2
279,삼선1에스에이치빌,동소문로17길 18,None,None,0,0,None,0,0,0,0
280,래미안석관,보문로29다길 25-9,래미안석관,화랑로 214,37.608303,127.054476,삼성물산(주),580,59.9,3,2
281,래미안석관,보문로29다길 25-9,래미안석관,화랑로 214,37.608303,127.054476,삼성물산(주),580,59.9,3,2
282,래미안석관,보문로29다길 25-9,래미안석관,화랑로 214,37.608303,127.054476,삼성물산(주),580,84.84,3,2
283,래미안석관,보문로29다길 25-9,래미안석관,화랑로 214,37.608303,127.054476,삼성물산(주),580,84.84,3,2
284,래미안석관,보문로29다길 25-9,래미안석관,화랑로 214,37.608303,127.054476,삼성물산(주),580,114.97,4,2
285,보보스하우스A,화랑로 214,None,None,0,0,None,0,0,0,0
286,보보스하우스B,송이로14길 16,None,None,0,0,None,0,0,0,0
287,거여3단지,송이로14길 18,현대3차,거마로 41,37.497216,127.144655,현대건설(주),303,84.83,3,2
288,거여3단지,송이로14길 18,현대3차,거마로 41,37.497216,127.144655,현대건설(주),303,84.94,3,2
289,거여6단지,양산로2길 44,None,None,0,0,None,0,0,0,0
290,목동현대아파트(931),마천로 193,None,None,0,0,None,0,0,0,0
291,목동2차우성,목동동로12길 59,목동우성2차,목동남로4길 6-23,37.507451,126.865426,주식회사 우성,1140,84.96,3,2
292,목동2차우성,목동동로12길 59,목동우성2차,목동남로4길 6-23,37.507451,126.865426,주식회사 우성,1140,113.91,4,2
293,신정도시마을주택,신정중앙로 13,None,None,0,0,None,0,0,0,0
294,양천,신정로13가길 6,None,None,0,0,None,0,0,0,0
295,학마을2,신정로7길 70,None,None,0,0,None,0,0,0,0
296,미진리버빌,버드나루로 146,미진리버빌(도시형),버드나루로 95,37.526666,126.908463,동양도시개발(주),77,19.39,1,1
297,미진리버빌,버드나루로 146,미진리버빌(도시형),버드나루로 95,37.526666,126.908463,동양도시개발(주),77,19.65,1,1
298,미진리버빌,버드나루로 146,미진리버빌(도시형),버드나루로 95,37.526666,126.908463,동양도시개발(주),77,22.23,1,1
299,조인타운,버드나루로 95,조인타운(도시형),버드나루로 89,37.526141,126.908677,보림건설주식회사,21,15.65,1,1
300,조인타운,버드나루로 95,조인타운(도시형),버드나루로 89,37.526141,126.908677,보림건설주식회사,21,18.65,1,1
301,조인타운,버드나루로 95,조인타운(도시형),버드나루로 89,37.526141,126.908677,보림건설주식회사,21,19.6,1,1
302,조인타운,버드나루로 95,조인타운(도시형),버드나루로 89,37.526141,126.908677,보림건설주식회사,21,20.07,1,1
303,조인타운,버드나루로 95,조인타운(도시형),버드나루로 89,37.526141,126.908677,보림건설주식회사,21,22.31,1,1
304,당산SHVILLE,버드나루로 89,None,None,0,0,None,0,0,0,0
305,영등포오피스텔,양평로12가길 2,None,None,0,0,None,0,0,0,0
306,금성(미공시),국회대로54길 37-13,None,None,0,0,None,0,0,0,0
307,시범(중산1차),원효로 129,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,39.67,2,1
308,시범(중산1차),원효로 129,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,49.59,2,1
309,시범(중산1차),원효로 129,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,59.5,3,1
310,이촌시범,이촌로2가길 36,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,39.67,2,1
311,이촌시범,이촌로2가길 36,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,49.59,2,1
312,이촌시범,이촌로2가길 36,중산1차시범,이촌로2가길 36,37.52915,126.95357,-,228,59.5,3,1
313,중앙하이츠(B),이촌로14길 11-6,잠원중앙하이츠(B동),잠원로3길 20,37.51006,127.004806,중앙건설,126,59.93,3,1
314,중앙하이츠(B),이촌로14길 11-6,잠원중앙하이츠(B동),잠원로3길 20,37.51006,127.004806,중앙건설,126,75.44,3,2
315,H빌딩,이촌로14길 16,None,None,0,0,None,0,0,0,0
316,디와이빌,이촌로84길 9-12,None,None,0,0,None,0,0,0,0
317,불광SH빌,소월로 377,None,None,0,0,None,0,0,0,0
318,화림빌딩(23-10),통일로77길 4,None,None,0,0,None,0,0,0,0
319,은평뉴타운구파발10단지(장기전세),불광로 25-1,None,None,0,0,None,0,0,0,0
320,은평뉴타운상림마을(현대아이파크B-9),불광로2길 46,None,None,0,0,None,0,0,0,0
321,COZY빌딩,증산로 463,None,None,0,0,None,0,0,0,0
322,숭인동101동(제3호)(569-0),진관3로 15-35,None,None,0,0,None,0,0,0,0
323,(340-127),진관4로 78-8,None,None,0,0,None,0,0,0,0
324,(340-45),종로56길 42-8,None,None,0,0,None,0,0,0,0
325,(432-2001),숭인동2길 53,None,None,0,0,None,0,0,0,0
326,서제빌딩,다산로14길 17,None,None,0,0,None,0,0,0,0
327,리하우스(LEEHAUS),다산로18길 16,None,None,0,0,None,0,0,0,0
328,청계우성아트윈,서소문로6길 21,청계우성아트윈(주상복합),난계로17길 20-21,37.569874,127.022252,주식회사신원개발,15,16.1,1,1
329,청계우성아트윈,서소문로6길 21,청계우성아트윈(주상복합),난계로17길 20-21,37.569874,127.022252,주식회사신원개발,15,17.01,1,1
330,청계우성아트윈,서소문로6길 21,청계우성아트윈(주상복합),난계로17길 20-21,37.569874,127.022252,주식회사신원개발,15,37.52,1,1
331,묵동리본타워,마장로9길 33,None,None,0,0,None,0,0,0,0
332,레지던스아침,난계로21길 37,None,None,0,0,None,0,0,0,0
333,베스트엘리시온,난계로17길 20-21,None,None,0,0,None,0,0,0,0
334,동성2,신내로 277,동성2차(21-5),신촌로 43,35.206063,128.627984,동성개발,130,84.65,3,1
335,동성2,신내로 277,동성2차(21-5),신촌로 43,35.206063,128.627984,동성개발,130,126.24,4,2
336,동성2,신내로 277,동성2차(21-5),신촌로 43,35.206063,128.627984,동성개발,130,158.76,5,2
337,신내동의료안심주택,중랑천로 72,None,None,0,0,None,0,0,0,0
338,대치동959-33도시형생활주택,망우로36길 38,None,None,0,0,None,0,0,0,0
339,도곡현대힐스테이트103동,신내로 128,None,None,0,0,None,0,0,0,0
340,하니움,신내로16길 33,None,None,0,0,None,0,0,0,0
341,현대썬앤빌,역삼로81길 15,현대썬앤빌601(도시형),장한로 91,37.56919,127.06937,현대비에스앤씨(주),193,17.83,1,1
342,현대썬앤빌,역삼로81길 15,현대썬앤빌601(도시형),장한로 91,37.56919,127.06937,현대비에스앤씨(주),193,18.35,1,1
343,현대썬앤빌,역삼로81길 15,현대썬앤빌601(도시형),장한로 91,37.56919,127.06937,현대비에스앤씨(주),193,24.33,1,1
344,백천이스트하임,광평로60길 32,백천이스트하임(도시형),양재대로 1500,37.53946,127.141013,신준종합건설(주),84,17.39,1,1
345,백천이스트하임,광평로60길 32,백천이스트하임(도시형),양재대로 1500,37.53946,127.141013,신준종합건설(주),84,21.44,1,1
346,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,44.39,2,1
347,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,50.03,3,2
348,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,49.62,2,1
349,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,55.55,2,1
350,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,57.99,2,1
351,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,59.27,3,2
352,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,59.27,3,2
353,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,61,3,2
354,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,60.56,3,1
355,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,66.24,3,2
356,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,67,3,1
357,동영,도산대로 225,정량동원로얄듀크,경상남도 통영시 비석1길 28,34.849728,128.429951,(주)남양개발,248,73.67,3,2
358,MAIBAUM천호동아파트,역삼로10길 13,None,None,0,0,None,0,0,0,0
359,도시개발공사,풍성로54길 48,구학마을,학감대로49번길 15,35.136736,128.993067,일신진흥건설(주),1110,46.32,3,1
360,방화6단지,상암로41길 67,None,None,0,0,None,0,0,0,0
361,루체쓰리,개화동로21길 4,None,None,0,0,None,0,0,0,0
362,우현스카이빌(926-9),곰달래로 84-2,None,None,0,0,None,0,0,0,0
363,태민빌딩(143-40),까치산로15길 3,None,None,0,0,None,0,0,0,0
364,행복이꽃피는집,강서로7길 20-29,None,None,0,0,None,0,0,0,0
365,BELITATERRA,화곡로 176-17,None,None,0,0,None,0,0,0,0
366,주원베르빌(493-7),까치산로11길 26,None,None,0,0,None,0,0,0,0
367,(718-7),관악로15길 22,하이캐슬(1718-6),성현로 14,37.492255,126.945583,(주)인터넷종합건설,14,84.97,3,2
368,(718-7),관악로15길 22,하이캐슬(1718-6),성현로 14,37.492255,126.945583,(주)인터넷종합건설,14,85,3,2
369,(797-37),봉천로12길 65,None,None,0,0,None,0,0,0,0
370,(797-41),조원로 137-2,None,None,0,0,None,0,0,0,0
371,(798-14),구로동로15길 21-9,None,None,0,0,None,0,0,0,0
372,(800-29),디지털로27라길 6-8,None,None,0,0,None,0,0,0,0
373,대길빌라C동,디지털로27길 96,None,None,0,0,None,0,0,0,0
374,태우(806-61),도림로6길 18-4,None,None,0,0,None,0,0,0,0
375,영진힐탑,도림로6길 7,영진힐탑,문성로 14,37.476189,126.904938,(주)힐탑건설,14,39.99,2,1
376,영진힐탑,도림로6길 7,영진힐탑,문성로 14,37.476189,126.904938,(주)힐탑건설,14,84.02,3,2
377,호암빌11차,디지털로27길 124-47,None,None,0,0,None,0,0,0,0
378,남광미르빌,20,None,None,0,0,None,0,0,0,0
379,도균빌딩,구로동로8길 16,None,None,0,0,None,0,0,0,0
380,불암대림(207동),문성로 14,None,None,0,0,None,0,0,0,0
381,불암현대아파트(106동),가산로 5,None,None,0,0,None,0,0,0,0
382,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,59.92,3,2
383,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,59.96,3,2
384,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.95,3,2
385,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.95,3,2
386,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.93,3,2
387,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.93,3,2
388,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.96,3,2
389,꿈의숲SK뷰아파트,화랑로 415-9,꿈의숲SK뷰,월계로42길 97,37.622032,127.053592,에스케이건설(주),504,84.96,3,2
390,사슴2,화랑로 409,None,None,0,0,None,0,0,0,0
391,새봄드림빌,섬밭로 2,None,None,0,0,None,0,0,0,0
392,목련(3단지),덕릉로94가길 41,목련3단지,평촌대로211번길 21,37.389306,126.955361,주식회사 우성건설,902,41.62,2,1
393,목련(3단지),덕릉로94가길 41,목련3단지,평촌대로211번길 21,37.389306,126.955361,주식회사 우성건설,902,50.73,2,1
394,목련(3단지),덕릉로94가길 41,목련3단지,평촌대로211번길 21,37.389306,126.955361,주식회사 우성건설,902,56.7,2,1
395,목련(3단지),덕릉로94가길 41,목련3단지,평촌대로211번길 21,37.389306,126.955361,주식회사 우성건설,902,56.7,2,1
