,apt,zibun,new_zibun,new_apt,road,new_road,latitude,longitude,company,home_cnt,home_size,room_cnt,bath_cnt,bigo
103,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
104,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
105,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
106,한마음,동대문구 372-7,None,,장한로23길 11-9,None,0,0,None,0,0,0,0,아파트없음
107,CNHHome,동대문구 103-106,None,CNH Home,전농로 217-15,None,0,0,None,0,0,0,0,None
108,와이시티휘경,동대문구 689,None,와이시티휘경,한천로 235,None,0,0,None,0,0,0,0,None
109,필하우스(OH빌딩),동작구 56-14,None,56빌딩,장승배기로28길 19,None,0,0,None,0,0,0,0,None
110,강남아파트,동작구 488,None,,상도로 357,None,0,0,None,0,0,0,0,아파트없음
111,현대빌라,마포구 11-174,None,,효창원로95길 35,None,0,0,None,0,0,0,0,아파트없음
112,현대빌라,마포구 11-174,None,,효창원로95길 35,None,0,0,None,0,0,0,0,아파트없음
113,현대빌라,마포구 11-174,None,,효창원로95길 35,None,0,0,None,0,0,0,0,아파트없음
114,현대빌라,마포구 11-174,None,,효창원로95길 35,None,0,0,None,0,0,0,0,아파트없음
115,사제강빌,마포구 353-10,None,,토정로11길 47-1,None,0,0,None,0,0,0,0,아파트없음
116,상암월드컵파크1단지,마포구 1634,None,상암월드컵아파트 1단지,월드컵북로47길 8,None,0,0,None,0,0,0,0,None
117,상암월드컵파크1단지,마포구 1634,None,상암월드컵아파트 1단지,월드컵북로47길 8,None,0,0,None,0,0,0,0,None
118,상암월드컵파크8단지,마포구 1674,None,상암월드컵8단지,월드컵로42길 12,None,0,0,None,0,0,0,0,None
119,신공덕2차삼성래미안(208동),마포구 160,마포구 신공덕동 159,신공덕삼성래미안2차,만리재로 74,만리재로 74,37.546527,126.958059,삼성물산(주)주택부문,458,59.48,3,1,None
